Company Name,Category,Revenue Estimate,Employees,Branches/Depots,Service Vans,Description,Services,Notable Info,Website
County Tyre Group,Commercial/Agricultural,£15M+ estimate,150+ staff,40+ branches,100+ vans,"South West South Wales Midlands specialist. Now part of The Tyre Group.",Commercial truck/plant/agricultural/24hr breakdown,"Independently owned. Strong local fleet relationships",https://www.county-tyres.co.uk
Bond International,Wholesaler,$150M+ estimate,500+ employees,11 distribution centres,350 vehicles,"UK's largest independent tyre wholesaler. Family business since 1966.",All tyres wholesale/next day 92% UK coverage,"Sells 1 tyre every 6 seconds. 99.5% OTIF delivery rate. Marshal exclusive",https://www.bondint.uk
Universal (Halfords),Commercial/Fleet,£31M pre-acquisition,200+ staff,20 garages,89 commercial vans,"Kent-based. Acquired by Halfords 2021 for £15M. South East focus.",Truck/van/car tyres/commercial fleet services,"Founded 1923. Strong fleet customer base",Merged into Halfords
Marangoni UK,Retreading Technology,Part of Marangoni Group,Via UK partners,Partner network,Partner vans,"Italian retreading technology company. RINGTREAD system. UK partners include Tuf Treads G&S Tyres.",Retreading technology/equipment/compounds,"25% of European pre-cure retreading uses Marangoni tech",https://www.marangoni.com
TIA Tyres,Wholesaler,$20M+ estimate,50+ staff,85000 sq ft warehouse,National delivery,"Part of TIA Group. Major wholesaler Midlands-based.",Truck/bus/car/van tyres wholesale,"Delivery throughout mainland UK",https://www.tiatyres.co.uk
GB Tyres,Wholesaler,$25M+ estimate,60+ staff,Large warehouse,National delivery,"One of largest budget mid-range premium suppliers UK Europe.",Wholesale all tyres/commercial specialist,Large commercial truck tyre stock,https://www.gbtyres.net
PB Tyres,Commercial Wholesaler,£5M+ estimate,20+ staff,Warehouse facility,UK and abroad delivery,"Family business 40+ years commercial tyre industry.",Commercial truck tyre wholesale,"Strong manufacturer relationships",https://www.pbtyres.uk
Protyre,Retailer/Commercial,$150M+ estimate,1000+ staff,180+ centres,150+ vans,"Major tyre retailer. 62 Pirelli Performance Centres - most of any UK retailer.",Truck tyres/car tyres/MOT/fleet services,"Micheldever Group company",https://www.protyre.co.uk
Setyres,Retailer/Commercial,£20M+ estimate,150+ staff,25 retail sites + commercial,30+ commercial vans,"South England specialist. Commercial division for truck ag plant.",Commercial truck/agricultural/plant tyres,"New Hailsham agricultural warehouse",https://www.setyres.com
Pirelli UK (Commercial),Manufacturer,Part of €6.6B global,100+ UK commercial,150 Performance Centres,Via dealers,"Italian premium manufacturer. Strong focus on independent dealer support.",Premium truck tyres/fleet management/B2Fleet system,"Pharos brand via International Tyres exclusive",https://www.pirelli.com/tyres/en-gb
Yokohama UK,Manufacturer,Part of $6B global,50+ UK staff,200+ via dealers,Via dealers,"Japanese manufacturer. BluEarth commercial range expanding.",Truck/bus/van tyres/BluEarth fuel efficient range,"Growing commercial segment focus 2024/25",https://www.yokohama.eu
Cooper Tyres (Goodyear),Manufacturer,Part of Goodyear,Via UK distribution,300+ via Goodyear network,Via dealers,"American brand now Goodyear owned (2021 $2.8B acquisition). Owns Avon Tyres UK.",Commercial van/light truck tyres/Evolution Van range,"UK Avon Tyres facility Melksham",https://www.coopertire.co.uk
Tuf Treads (Wales),Retreader,£3M+ estimate,30+ staff,22000 sq ft facility,Local service,"Welsh retreader. 45-year Marangoni partnership. New facility opened 2025.",Truck tyre retreading/RINGTREAD system,"Purpose-built production facility Wales",Via Marangoni
R&J Strang,Commercial/Fleet,£15M+ estimate,80+ staff,3 locations Scotland,40+ vans,"Continental-owned Scottish business. Hamilton Irvine Broxburn.",Commercial truck tyres/fleet management,"Part of Continental dealer network",https://www.rjstrang.co.uk
Halfords Commercial Fleet,Commercial Fleet,£384M B2B revenue (24% of group),3000+ commercial staff,National via acquisitions,500+ combined,"UK's largest commercial tyre service provider. Lodge McConechy's Universal combined.",All commercial tyres/24hr breakdown/fleet management,"Formed from multiple acquisitions. Largest UK commercial provider",https://www.halfordscfs.co.uk
